4, 1.051731
16, 0.350424
14, 0.433025
8, 1.084910

16, 0.372441
14, 0.437936
4, 1.046634
16, 0.395825
10, 0.570451
6, 0.733313
12, 0.508511
8, 0.997457

10, 0.482006
6, 0.722393
14, 0.444963
12, 0.531054
8, 1.087199
14, 0.438441
10, 0.523649
6, 0.725033

8, 1.022468
18, 0.389883
16, 0.377731
20, 0.343634
10, 0.492413
12, 0.504411
8, 0.970454
16, 0.388478
14, 0.424354
10, 0.575279
6, 0.729698
12, 0.604396
14, 0.404114
4, 1.051579
16, 0.367645
18, 0.430965
1, 4.423934
10, 0.500469
20, 0.350601
4, 1.050653
8, 1.066956

14, 0.442522
12, 0.500326
18, 0.414369
6, 0.727693
4, 1.057680
10, 0.515618
18, 0.385350
20, 0.342414
12, 0.502434
6, 0.725318
8, 0.959456
4, 1.061671
1, 4.435750
10, 0.499601
12, 0.529549
6, 0.722805
8, 1.075207
8, 0.894803
1, 4.432098
1, 4.423545
1, 4.422314
1, 4.423341
1, 4.419620
1, 4.436691
